Country,Year,HIV/AIDS
Afghanistan,1990,34
Afghanistan,1991,41
Afghanistan,1992,48
Afghanistan,1993,56
Afghanistan,1994,63
Afghanistan,1995,71
Afghanistan,1996,78
Afghanistan,1997,84
Afghanistan,1998,89
Afghanistan,1999,93
Afghanistan,2000,97
Afghanistan,2001,104
Afghanistan,2002,111
Afghanistan,2003,118
Afghanistan,2004,125
Afghanistan,2005,132
Afghanistan,2006,140
Afghanistan,2007,148
Afghanistan,2008,157
Afghanistan,2009,167
Afghanistan,2010,176
Afghanistan,2011,184
Afghanistan,2012,191
Afghanistan,2013,200
Afghanistan,2014,213
Afghanistan,2015,230
Afghanistan,2016,251
Afghanistan,2017,272
Afghanistan,2018,291
Afghanistan,2019,318
