Country,Year,HIV/AIDS
Algeria,1990,44
Algeria,1991,50
Algeria,1992,57
Algeria,1993,64
Algeria,1994,72
Algeria,1995,80
Algeria,1996,90
Algeria,1997,101
Algeria,1998,113
Algeria,1999,118
Algeria,2000,123
Algeria,2001,137
Algeria,2002,155
Algeria,2003,175
Algeria,2004,196
Algeria,2005,217
Algeria,2006,244
Algeria,2007,278
Algeria,2008,297
Algeria,2009,318
Algeria,2010,329
Algeria,2011,335
Algeria,2012,343
Algeria,2013,345
Algeria,2014,355
Algeria,2015,328
Algeria,2016,309
Algeria,2017,289
Algeria,2018,275
Algeria,2019,264
