Country,Year,HIV/AIDS
American Samoa,1990,0
American Samoa,1991,0
American Samoa,1992,0
American Samoa,1993,0
American Samoa,1994,0
American Samoa,1995,0
American Samoa,1996,0
American Samoa,1997,0
American Samoa,1998,0
American Samoa,1999,0
American Samoa,2000,0
American Samoa,2001,0
American Samoa,2002,0
American Samoa,2003,1
American Samoa,2004,1
American Samoa,2005,1
American Samoa,2006,1
American Samoa,2007,1
American Samoa,2008,1
American Samoa,2009,1
American Samoa,2010,1
American Samoa,2011,1
American Samoa,2012,1
American Samoa,2013,1
American Samoa,2014,1
American Samoa,2015,1
American Samoa,2016,1
American Samoa,2017,1
American Samoa,2018,0
American Samoa,2019,0
