Country,Year,HIV/AIDS
Angola,1990,239
Angola,1991,361
Angola,1992,531
Angola,1993,762
Angola,1994,1067
Angola,1995,1456
Angola,1996,1937
Angola,1997,2514
Angola,1998,3186
Angola,1999,3947
Angola,2000,4784
Angola,2001,5685
Angola,2002,6630
Angola,2003,7600
Angola,2004,8557
Angola,2005,9398
Angola,2006,9927
Angola,2007,10340
Angola,2008,10889
Angola,2009,11433
Angola,2010,12036
Angola,2011,12798
Angola,2012,13533
Angola,2013,13524
Angola,2014,13176
Angola,2015,13544
Angola,2016,14825
Angola,2017,16149
Angola,2018,16728
Angola,2019,16802
