Country,Year,HIV/AIDS
Argentina,1990,559
Argentina,1991,670
Argentina,1992,909
Argentina,1993,1003
Argentina,1994,1328
Argentina,1995,1635
Argentina,1996,1867
Argentina,1997,2049
Argentina,1998,1907
Argentina,1999,1767
Argentina,2000,1753
Argentina,2001,1767
Argentina,2002,1829
Argentina,2003,1878
Argentina,2004,1747
Argentina,2005,1620
Argentina,2006,1692
Argentina,2007,1727
Argentina,2008,1714
Argentina,2009,1721
Argentina,2010,1651
Argentina,2011,1611
Argentina,2012,1733
Argentina,2013,1747
Argentina,2014,1766
Argentina,2015,1765
Argentina,2016,1817
Argentina,2017,1810
Argentina,2018,1796
Argentina,2019,1777
