Country,Year,HIV/AIDS
Australia,1990,379
Australia,1991,433
Australia,1992,479
Australia,1993,568
Australia,1994,558
Australia,1995,521
Australia,1996,489
Australia,1997,242
Australia,1998,194
Australia,1999,172
Australia,2000,162
Australia,2001,146
Australia,2002,133
Australia,2003,134
Australia,2004,145
Australia,2005,117
Australia,2006,132
Australia,2007,123
Australia,2008,95
Australia,2009,101
Australia,2010,83
Australia,2011,103
Australia,2012,74
Australia,2013,69
Australia,2014,67
Australia,2015,64
Australia,2016,71
Australia,2017,71
Australia,2018,71
Australia,2019,71
