Country,Year,HIV/AIDS
Austria,1990,69
Austria,1991,90
Austria,1992,136
Austria,1993,146
Austria,1994,178
Austria,1995,164
Austria,1996,117
Austria,1997,65
Austria,1998,68
Austria,1999,56
Austria,2000,48
Austria,2001,50
Austria,2002,53
Austria,2003,50
Austria,2004,56
Austria,2005,65
Austria,2006,43
Austria,2007,59
Austria,2008,47
Austria,2009,40
Austria,2010,45
Austria,2011,41
Austria,2012,39
Austria,2013,50
Austria,2014,43
Austria,2015,44
Austria,2016,35
Austria,2017,37
Austria,2018,36
Austria,2019,35
