Country,Year,HIV/AIDS
Azerbaijan,1990,14
Azerbaijan,1991,17
Azerbaijan,1992,20
Azerbaijan,1993,23
Azerbaijan,1994,27
Azerbaijan,1995,30
Azerbaijan,1996,33
Azerbaijan,1997,36
Azerbaijan,1998,40
Azerbaijan,1999,43
Azerbaijan,2000,47
Azerbaijan,2001,51
Azerbaijan,2002,54
Azerbaijan,2003,57
Azerbaijan,2004,60
Azerbaijan,2005,63
Azerbaijan,2006,64
Azerbaijan,2007,57
Azerbaijan,2008,44
Azerbaijan,2009,40
Azerbaijan,2010,42
Azerbaijan,2011,36
Azerbaijan,2012,30
Azerbaijan,2013,28
Azerbaijan,2014,29
Azerbaijan,2015,30
Azerbaijan,2016,32
Azerbaijan,2017,33
Azerbaijan,2018,35
Azerbaijan,2019,37
