Country,Year,HIV/AIDS
Bahamas,1990,64
Bahamas,1991,86
Bahamas,1992,113
Bahamas,1993,156
Bahamas,1994,187
Bahamas,1995,194
Bahamas,1996,233
Bahamas,1997,198
Bahamas,1998,188
Bahamas,1999,264
Bahamas,2000,259
Bahamas,2001,265
Bahamas,2002,227
Bahamas,2003,205
Bahamas,2004,205
Bahamas,2005,169
Bahamas,2006,187
Bahamas,2007,145
Bahamas,2008,139
Bahamas,2009,138
Bahamas,2010,126
Bahamas,2011,124
Bahamas,2012,126
Bahamas,2013,122
Bahamas,2014,125
Bahamas,2015,124
Bahamas,2016,122
Bahamas,2017,120
Bahamas,2018,118
Bahamas,2019,116
