Country,Year,HIV/AIDS
Belarus,2007,309
Belarus,2008,326
Belarus,2009,374
Belarus,2010,379
Belarus,2011,412
Belarus,2012,370
Belarus,2014,343
Belarus,2016,324
Belarus,1990,98
Belarus,1991,102
Belarus,1992,100
Belarus,1993,115
Belarus,1994,144
Belarus,1995,148
Belarus,1996,146
Belarus,1997,159
Belarus,1998,155
Belarus,1999,204
Belarus,2000,171
Belarus,2001,155
Belarus,2002,204
Belarus,2003,252
Belarus,2004,245
Belarus,2005,262
Belarus,2006,282
Belarus,2013,337
Belarus,2015,334
Belarus,2017,314
Belarus,2018,303
Belarus,2019,294
