Country,Year,HIV/AIDS
Botswana,2007,9830
Botswana,2008,8944
Botswana,2009,7917
Botswana,2010,7330
Botswana,2012,6630
Botswana,2013,6240
Botswana,2016,5696
Botswana,1990,1204
Botswana,1991,1860
Botswana,1992,2783
Botswana,1993,4042
Botswana,1994,5551
Botswana,1995,7263
Botswana,1996,9096
Botswana,1997,10971
Botswana,1998,12800
Botswana,1999,14458
Botswana,2000,15885
Botswana,2001,16946
Botswana,2002,17363
Botswana,2003,16698
Botswana,2004,14733
Botswana,2005,12414
Botswana,2006,10755
Botswana,2011,6995
Botswana,2014,6009
Botswana,2015,5866
Botswana,2017,5714
Botswana,2018,5701
Botswana,2019,5612
