Country,Year,HIV/AIDS
Bulgaria,1990,30
Bulgaria,1991,26
Bulgaria,1992,28
Bulgaria,1993,37
Bulgaria,1994,53
Bulgaria,1995,34
Bulgaria,1996,60
Bulgaria,1997,81
Bulgaria,1998,100
Bulgaria,1999,71
Bulgaria,2000,59
Bulgaria,2001,61
Bulgaria,2002,64
Bulgaria,2003,66
Bulgaria,2004,65
Bulgaria,2005,96
Bulgaria,2006,100
Bulgaria,2007,93
Bulgaria,2008,88
Bulgaria,2009,64
Bulgaria,2010,70
Bulgaria,2011,61
Bulgaria,2012,66
Bulgaria,2013,55
Bulgaria,2014,54
Bulgaria,2015,53
Bulgaria,2016,51
Bulgaria,2017,50
Bulgaria,2018,48
Bulgaria,2019,46
