Country,Year,HIV/AIDS
Cambodia,1990,8
Cambodia,1991,25
Cambodia,1992,111
Cambodia,1993,342
Cambodia,1994,778
Cambodia,1995,1449
Cambodia,1996,2337
Cambodia,1997,3366
Cambodia,1998,4455
Cambodia,1999,5492
Cambodia,2000,6401
Cambodia,2001,7121
Cambodia,2002,7593
Cambodia,2003,7801
Cambodia,2004,7710
Cambodia,2005,7287
Cambodia,2006,6523
Cambodia,2007,5541
Cambodia,2008,4628
Cambodia,2009,3920
Cambodia,2010,3361
Cambodia,2011,2875
Cambodia,2012,2521
Cambodia,2013,2290
Cambodia,2014,2121
Cambodia,2015,1961
Cambodia,2016,1825
Cambodia,2017,1690
Cambodia,2018,1539
Cambodia,2019,1416
