Country,Year,HIV/AIDS
Canada,1990,801
Canada,1991,942
Canada,1992,1107
Canada,1993,1215
Canada,1994,1285
Canada,1995,1610
Canada,1996,1238
Canada,1997,663
Canada,1998,513
Canada,1999,431
Canada,2000,563
Canada,2001,479
Canada,2002,464
Canada,2003,473
Canada,2004,456
Canada,2005,499
Canada,2006,471
Canada,2007,448
Canada,2008,415
Canada,2009,364
Canada,2010,330
Canada,2011,302
Canada,2012,277
Canada,2013,233
Canada,2014,273
Canada,2015,272
Canada,2016,269
Canada,2017,265
Canada,2018,259
Canada,2019,254
