Country,Year,HIV/AIDS
Cape Verde,1990,28
Cape Verde,1991,38
Cape Verde,1992,50
Cape Verde,1993,63
Cape Verde,1994,77
Cape Verde,1995,90
Cape Verde,1996,104
Cape Verde,1997,116
Cape Verde,1998,127
Cape Verde,1999,137
Cape Verde,2000,145
Cape Verde,2001,151
Cape Verde,2002,155
Cape Verde,2003,159
Cape Verde,2004,159
Cape Verde,2005,148
Cape Verde,2006,130
Cape Verde,2007,118
Cape Verde,2008,109
Cape Verde,2009,108
Cape Verde,2010,107
Cape Verde,2011,100
Cape Verde,2012,93
Cape Verde,2013,83
Cape Verde,2014,75
Cape Verde,2015,71
Cape Verde,2016,68
Cape Verde,2017,63
Cape Verde,2018,58
Cape Verde,2019,55
