Country,Year,HIV/AIDS
Central African Republic,1990,2027
Central African Republic,1991,3433
Central African Republic,1992,5030
Central African Republic,1993,6693
Central African Republic,1994,8276
Central African Republic,1995,9662
Central African Republic,1996,10815
Central African Republic,1997,11712
Central African Republic,1998,12346
Central African Republic,1999,12746
Central African Republic,2000,12950
Central African Republic,2001,12991
Central African Republic,2002,12945
Central African Republic,2003,12836
Central African Republic,2004,12618
Central African Republic,2005,12237
Central African Republic,2006,11722
Central African Republic,2007,11057
Central African Republic,2008,10093
Central African Republic,2009,9460
Central African Republic,2010,9369
Central African Republic,2011,9392
Central African Republic,2012,9345
Central African Republic,2013,9151
Central African Republic,2014,8517
Central African Republic,2015,7578
Central African Republic,2016,6764
Central African Republic,2017,6194
Central African Republic,2018,5804
Central African Republic,2019,5547
