Country,Year,HIV/AIDS
China,2007,14992
China,2008,16310
China,2009,16364
China,2010,16722
China,2011,17075
China,2012,16455
China,2013,17728
China,2014,21784
China,2015,26060
China,2016,29402
China,1990,2698
China,1991,3420
China,1992,4112
China,1993,4830
China,1994,5434
China,1995,6292
China,1996,6758
China,1997,7392
China,1998,8239
China,1999,9004
China,2000,9872
China,2001,11021
China,2002,11773
China,2003,12183
China,2004,13424
China,2005,15090
China,2006,14791
China,2017,31031
China,2018,31707
China,2019,31746
