Country,Year,HIV/AIDS
Colombia,1990,486
Colombia,1991,587
Colombia,1992,634
Colombia,1993,741
Colombia,1994,1027
Colombia,1995,1152
Colombia,1996,1180
Colombia,1997,1772
Colombia,1998,1733
Colombia,1999,1869
Colombia,2000,1991
Colombia,2001,2206
Colombia,2002,2412
Colombia,2003,2597
Colombia,2004,2687
Colombia,2005,2663
Colombia,2006,2642
Colombia,2007,2744
Colombia,2008,2701
Colombia,2009,2646
Colombia,2010,2741
Colombia,2011,2664
Colombia,2012,2564
Colombia,2013,2657
Colombia,2014,2634
Colombia,2015,2641
Colombia,2016,2558
Colombia,2017,2535
Colombia,2018,2499
Colombia,2019,2450
