Country,Year,HIV/AIDS
Congo,1990,3349
Congo,1991,4102
Congo,1992,4848
Congo,1993,5548
Congo,1994,6188
Congo,1995,6744
Congo,1996,7202
Congo,1997,7578
Congo,1998,7859
Congo,1999,8073
Congo,2000,8238
Congo,2001,8320
Congo,2002,8343
Congo,2003,8296
Congo,2004,8205
Congo,2005,7905
Congo,2006,7562
Congo,2007,7285
Congo,2008,6685
Congo,2009,6178
Congo,2010,5966
Congo,2011,5771
Congo,2012,5768
Congo,2013,5848
Congo,2014,5803
Congo,2015,5420
Congo,2016,4853
Congo,2017,4626
Congo,2018,4435
Congo,2019,4275
