Country,Year,HIV/AIDS
Costa Rica,1990,59
Costa Rica,1991,94
Costa Rica,1992,99
Costa Rica,1993,123
Costa Rica,1994,141
Costa Rica,1995,173
Costa Rica,1996,178
Costa Rica,1997,198
Costa Rica,1998,149
Costa Rica,1999,152
Costa Rica,2000,151
Costa Rica,2001,167
Costa Rica,2002,148
Costa Rica,2003,165
Costa Rica,2004,148
Costa Rica,2005,150
Costa Rica,2006,168
Costa Rica,2007,137
Costa Rica,2008,153
Costa Rica,2009,138
Costa Rica,2010,156
Costa Rica,2011,154
Costa Rica,2012,186
Costa Rica,2013,176
Costa Rica,2014,190
Costa Rica,2015,163
Costa Rica,2016,158
Costa Rica,2017,153
Costa Rica,2018,149
Costa Rica,2019,146
