Country,Year,HIV/AIDS
Cote d'Ivoire,1990,9969
Cote d'Ivoire,1991,14508
Cote d'Ivoire,1992,19897
Cote d'Ivoire,1993,25866
Cote d'Ivoire,1994,32114
Cote d'Ivoire,1995,38274
Cote d'Ivoire,1996,43905
Cote d'Ivoire,1997,48701
Cote d'Ivoire,1998,52518
Cote d'Ivoire,1999,55202
Cote d'Ivoire,2000,56322
Cote d'Ivoire,2001,55973
Cote d'Ivoire,2002,55220
Cote d'Ivoire,2003,54473
Cote d'Ivoire,2004,52779
Cote d'Ivoire,2005,49008
Cote d'Ivoire,2006,44466
Cote d'Ivoire,2007,39811
Cote d'Ivoire,2008,35140
Cote d'Ivoire,2009,33828
Cote d'Ivoire,2010,34883
Cote d'Ivoire,2011,33833
Cote d'Ivoire,2012,31375
Cote d'Ivoire,2013,29999
Cote d'Ivoire,2014,27159
Cote d'Ivoire,2015,22957
Cote d'Ivoire,2016,19677
Cote d'Ivoire,2017,16929
Cote d'Ivoire,2018,14696
Cote d'Ivoire,2019,13638
