Country,Year,HIV/AIDS
Djibouti,1990,1
Djibouti,1991,2
Djibouti,1992,8
Djibouti,1993,19
Djibouti,1994,39
Djibouti,1995,74
Djibouti,1996,127
Djibouti,1997,202
Djibouti,1998,296
Djibouti,1999,407
Djibouti,2000,528
Djibouti,2001,649
Djibouti,2002,750
Djibouti,2003,811
Djibouti,2004,871
Djibouti,2005,940
Djibouti,2006,982
Djibouti,2007,1010
Djibouti,2008,1038
Djibouti,2009,1068
Djibouti,2010,1099
Djibouti,2011,1098
Djibouti,2012,1079
Djibouti,2013,1077
Djibouti,2014,1062
Djibouti,2015,1022
Djibouti,2016,981
Djibouti,2017,949
Djibouti,2018,917
Djibouti,2019,903
