Country,Year,HIV/AIDS
Dominica,1990,6
Dominica,1991,4
Dominica,1992,5
Dominica,1993,6
Dominica,1994,7
Dominica,1995,7
Dominica,1996,8
Dominica,1997,6
Dominica,1998,6
Dominica,1999,7
Dominica,2000,9
Dominica,2001,9
Dominica,2002,8
Dominica,2003,8
Dominica,2004,8
Dominica,2005,6
Dominica,2006,6
Dominica,2007,6
Dominica,2008,6
Dominica,2009,5
Dominica,2010,6
Dominica,2011,6
Dominica,2012,6
Dominica,2013,5
Dominica,2014,7
Dominica,2015,7
Dominica,2016,6
Dominica,2017,5
Dominica,2018,5
Dominica,2019,5
