Country,Year,HIV/AIDS
El Salvador,1990,87
El Salvador,1991,105
El Salvador,1992,127
El Salvador,1993,153
El Salvador,1994,184
El Salvador,1995,222
El Salvador,1996,269
El Salvador,1997,326
El Salvador,1998,390
El Salvador,1999,460
El Salvador,2000,535
El Salvador,2001,614
El Salvador,2002,680
El Salvador,2003,731
El Salvador,2004,759
El Salvador,2005,740
El Salvador,2006,769
El Salvador,2007,822
El Salvador,2008,823
El Salvador,2009,800
El Salvador,2010,766
El Salvador,2011,722
El Salvador,2012,712
El Salvador,2013,743
El Salvador,2014,775
El Salvador,2015,779
El Salvador,2016,777
El Salvador,2017,743
El Salvador,2018,702
El Salvador,2019,680
