Country,Year,HIV/AIDS
Eritrea,1990,472
Eritrea,1991,718
Eritrea,1992,1004
Eritrea,1993,1350
Eritrea,1994,1725
Eritrea,1995,2124
Eritrea,1996,2517
Eritrea,1997,2869
Eritrea,1998,3199
Eritrea,1999,3508
Eritrea,2000,3741
Eritrea,2001,3838
Eritrea,2002,3838
Eritrea,2003,3836
Eritrea,2004,3792
Eritrea,2005,3640
Eritrea,2006,3383
Eritrea,2007,3074
Eritrea,2008,2797
Eritrea,2009,2586
Eritrea,2010,2414
Eritrea,2011,2234
Eritrea,2012,2050
Eritrea,2013,1890
Eritrea,2014,1760
Eritrea,2015,1655
Eritrea,2016,1574
Eritrea,2017,1497
Eritrea,2018,1418
Eritrea,2019,1378
