Country,Year,HIV/AIDS
Eswatini,1990,25
Eswatini,1991,74
Eswatini,1992,189
Eswatini,1993,418
Eswatini,1994,807
Eswatini,1995,1384
Eswatini,1996,2148
Eswatini,1997,3077
Eswatini,1998,4134
Eswatini,1999,5283
Eswatini,2000,6467
Eswatini,2001,7583
Eswatini,2002,8572
Eswatini,2003,9432
Eswatini,2004,10048
Eswatini,2005,10039
Eswatini,2006,9514
Eswatini,2007,9038
Eswatini,2008,8633
Eswatini,2009,8210
Eswatini,2010,7346
Eswatini,2011,6459
Eswatini,2012,6016
Eswatini,2013,5532
Eswatini,2014,4963
Eswatini,2015,4435
Eswatini,2016,4009
Eswatini,2017,3667
Eswatini,2018,3424
Eswatini,2019,3321
