Country,Year,HIV/AIDS
Ethiopia,2007,68887
Ethiopia,2008,60273
Ethiopia,2009,53142
Ethiopia,1990,14756
Ethiopia,1991,22282
Ethiopia,1992,31827
Ethiopia,1993,42829
Ethiopia,1994,54745
Ethiopia,1995,66627
Ethiopia,1996,77549
Ethiopia,1997,86787
Ethiopia,1998,93876
Ethiopia,1999,98723
Ethiopia,2000,101561
Ethiopia,2001,102293
Ethiopia,2002,101366
Ethiopia,2003,99077
Ethiopia,2004,95326
Ethiopia,2005,87408
Ethiopia,2006,77675
Ethiopia,2010,47038
Ethiopia,2011,42083
Ethiopia,2012,39202
Ethiopia,2013,37873
Ethiopia,2014,35993
Ethiopia,2015,33726
Ethiopia,2016,31571
Ethiopia,2017,29600
Ethiopia,2018,27743
Ethiopia,2019,26591
