Country,Year,HIV/AIDS
Ghana,1990,2727
Ghana,1991,3746
Ghana,1992,4996
Ghana,1993,6478
Ghana,1994,8168
Ghana,1995,10015
Ghana,1996,11963
Ghana,1997,13939
Ghana,1998,15882
Ghana,1999,17724
Ghana,2000,19400
Ghana,2001,20909
Ghana,2002,22190
Ghana,2003,23218
Ghana,2004,23824
Ghana,2005,24051
Ghana,2006,23919
Ghana,2007,23418
Ghana,2008,22626
Ghana,2009,21689
Ghana,2010,20587
Ghana,2011,19067
Ghana,2012,17964
Ghana,2013,17842
Ghana,2014,17649
Ghana,2015,17114
Ghana,2016,16507
Ghana,2017,15998
Ghana,2018,15232
Ghana,2019,14621
