Country,Year,HIV/AIDS
Honduras,1990,78
Honduras,1991,94
Honduras,1992,110
Honduras,1993,125
Honduras,1994,139
Honduras,1995,153
Honduras,1996,167
Honduras,1997,179
Honduras,1998,191
Honduras,1999,202
Honduras,2000,213
Honduras,2001,224
Honduras,2002,235
Honduras,2003,228
Honduras,2004,150
Honduras,2005,96
Honduras,2006,82
Honduras,2007,79
Honduras,2008,77
Honduras,2009,79
Honduras,2010,79
Honduras,2011,80
Honduras,2012,81
Honduras,2013,82
Honduras,2014,82
Honduras,2015,82
Honduras,2016,83
Honduras,2017,85
Honduras,2018,89
Honduras,2019,91
