Country,Year,HIV/AIDS
India,2007,163270
India,2008,155231
India,2009,142325
India,2012,101377
India,2013,91805
India,2015,66792
India,1990,1138
India,1991,1707
India,1992,3045
India,1993,5703
India,1994,10143
India,1995,16865
India,1996,26565
India,1997,39446
India,1998,56161
India,1999,75568
India,2000,95403
India,2001,114384
India,2002,131675
India,2003,144856
India,2004,158574
India,2005,164997
India,2006,167727
India,2010,127159
India,2011,113454
India,2014,79395
India,2016,57316
India,2017,49562
India,2018,46433
India,2019,46298
