Country,Year,HIV/AIDS
Indonesia,2007,2791
Indonesia,2008,2882
Indonesia,2009,3095
Indonesia,2013,4852
Indonesia,2015,5316
Indonesia,2016,5340
Indonesia,1990,12
Indonesia,1991,74
Indonesia,1992,150
Indonesia,1993,231
Indonesia,1994,333
Indonesia,1995,448
Indonesia,1996,574
Indonesia,1997,709
Indonesia,1998,851
Indonesia,1999,999
Indonesia,2000,1155
Indonesia,2001,1322
Indonesia,2002,1514
Indonesia,2003,1748
Indonesia,2004,2029
Indonesia,2005,2355
Indonesia,2006,2686
Indonesia,2010,3499
Indonesia,2011,4032
Indonesia,2012,4512
Indonesia,2014,5164
Indonesia,2017,5290
Indonesia,2018,5415
Indonesia,2019,5603
