Country,Year,HIV/AIDS
Liberia,1990,123
Liberia,1991,176
Liberia,1992,253
Liberia,1993,356
Liberia,1994,489
Liberia,1995,646
Liberia,1996,828
Liberia,1997,1041
Liberia,1998,1264
Liberia,1999,1479
Liberia,2000,1681
Liberia,2001,1869
Liberia,2002,2053
Liberia,2003,2207
Liberia,2004,2344
Liberia,2005,2449
Liberia,2006,2426
Liberia,2007,2375
Liberia,2008,2401
Liberia,2009,2366
Liberia,2010,2257
Liberia,2011,2165
Liberia,2012,2157
Liberia,2013,2187
Liberia,2014,2213
Liberia,2015,2221
Liberia,2016,2163
Liberia,2017,1989
Liberia,2018,1755
Liberia,2019,1652
