Country,Year,HIV/AIDS
Luxembourg,1990,5
Luxembourg,1991,7
Luxembourg,1992,8
Luxembourg,1993,10
Luxembourg,1994,10
Luxembourg,1995,11
Luxembourg,1996,9
Luxembourg,1997,6
Luxembourg,1998,4
Luxembourg,1999,4
Luxembourg,2000,4
Luxembourg,2001,4
Luxembourg,2002,4
Luxembourg,2003,4
Luxembourg,2004,4
Luxembourg,2005,3
Luxembourg,2006,3
Luxembourg,2007,3
Luxembourg,2008,3
Luxembourg,2009,3
Luxembourg,2010,3
Luxembourg,2011,2
Luxembourg,2012,2
Luxembourg,2013,2
Luxembourg,2014,2
Luxembourg,2015,3
Luxembourg,2016,2
Luxembourg,2017,2
Luxembourg,2018,2
Luxembourg,2019,2
