Country,Year,HIV/AIDS
Madagascar,1990,1
Madagascar,1991,3
Madagascar,1992,6
Madagascar,1993,12
Madagascar,1994,22
Madagascar,1995,40
Madagascar,1996,89
Madagascar,1997,162
Madagascar,1998,245
Madagascar,1999,351
Madagascar,2000,480
Madagascar,2001,626
Madagascar,2002,783
Madagascar,2003,944
Madagascar,2004,1103
Madagascar,2005,1254
Madagascar,2006,1392
Madagascar,2007,1520
Madagascar,2008,1643
Madagascar,2009,1759
Madagascar,2010,1865
Madagascar,2011,1962
Madagascar,2012,2065
Madagascar,2013,2172
Madagascar,2014,2269
Madagascar,2015,2354
Madagascar,2016,2392
Madagascar,2017,2438
Madagascar,2018,2509
Madagascar,2019,2530
