Country,Year,HIV/AIDS
Marshall Islands,1990,0
Marshall Islands,1991,1
Marshall Islands,1992,1
Marshall Islands,1993,1
Marshall Islands,1994,1
Marshall Islands,1995,1
Marshall Islands,1996,1
Marshall Islands,1997,1
Marshall Islands,1998,1
Marshall Islands,1999,1
Marshall Islands,2000,1
Marshall Islands,2001,2
Marshall Islands,2002,2
Marshall Islands,2003,2
Marshall Islands,2004,2
Marshall Islands,2005,2
Marshall Islands,2006,2
Marshall Islands,2007,2
Marshall Islands,2008,2
Marshall Islands,2009,2
Marshall Islands,2010,2
Marshall Islands,2011,2
Marshall Islands,2012,2
Marshall Islands,2013,2
Marshall Islands,2014,3
Marshall Islands,2015,3
Marshall Islands,2016,3
Marshall Islands,2017,3
Marshall Islands,2018,4
Marshall Islands,2019,4
