Country,Year,HIV/AIDS
Mauritania,1990,42
Mauritania,1991,48
Mauritania,1992,53
Mauritania,1993,57
Mauritania,1994,58
Mauritania,1995,59
Mauritania,1996,58
Mauritania,1997,56
Mauritania,1998,54
Mauritania,1999,52
Mauritania,2000,50
Mauritania,2001,48
Mauritania,2002,47
Mauritania,2003,45
Mauritania,2004,44
Mauritania,2005,41
Mauritania,2006,34
Mauritania,2007,28
Mauritania,2008,24
Mauritania,2009,22
Mauritania,2010,22
Mauritania,2011,23
Mauritania,2012,23
Mauritania,2013,23
Mauritania,2014,23
Mauritania,2015,22
Mauritania,2016,22
Mauritania,2017,22
Mauritania,2018,21
Mauritania,2019,21
