Country,Year,HIV/AIDS
Mauritius,1990,11
Mauritius,1991,3
Mauritius,1992,2
Mauritius,1993,2
Mauritius,1994,2
Mauritius,1995,2
Mauritius,1996,3
Mauritius,1997,2
Mauritius,1998,4
Mauritius,1999,2
Mauritius,2000,11
Mauritius,2001,8
Mauritius,2002,11
Mauritius,2003,16
Mauritius,2004,19
Mauritius,2005,23
Mauritius,2006,35
Mauritius,2007,56
Mauritius,2008,53
Mauritius,2009,40
Mauritius,2010,72
Mauritius,2011,69
Mauritius,2012,87
Mauritius,2013,109
Mauritius,2014,116
Mauritius,2015,95
Mauritius,2016,131
Mauritius,2017,102
Mauritius,2018,96
Mauritius,2019,91
