Country,Year,HIV/AIDS
Mexico,1990,2059
Mexico,1991,2542
Mexico,1992,3101
Mexico,1993,3726
Mexico,1994,4045
Mexico,1995,4585
Mexico,1996,4990
Mexico,1997,4784
Mexico,1998,4894
Mexico,1999,4981
Mexico,2000,4854
Mexico,2001,5060
Mexico,2002,5171
Mexico,2003,5280
Mexico,2004,5381
Mexico,2005,5386
Mexico,2006,5575
Mexico,2007,5786
Mexico,2008,5988
Mexico,2009,5847
Mexico,2010,5694
Mexico,2011,5711
Mexico,2012,5603
Mexico,2013,5460
Mexico,2014,5311
Mexico,2015,5300
Mexico,2016,5093
Mexico,2017,5157
Mexico,2018,5101
Mexico,2019,5034
