Country,Year,HIV/AIDS
Micronesia,1990,6
Micronesia,1991,6
Micronesia,1992,7
Micronesia,1993,7
Micronesia,1994,7
Micronesia,1995,7
Micronesia,1996,7
Micronesia,1997,7
Micronesia,1998,7
Micronesia,1999,6
Micronesia,2000,6
Micronesia,2001,6
Micronesia,2002,6
Micronesia,2003,7
Micronesia,2004,7
Micronesia,2005,9
Micronesia,2006,10
Micronesia,2007,11
Micronesia,2008,13
Micronesia,2009,15
Micronesia,2010,17
Micronesia,2011,19
Micronesia,2012,21
Micronesia,2013,23
Micronesia,2014,27
Micronesia,2015,31
Micronesia,2016,35
Micronesia,2017,38
Micronesia,2018,41
Micronesia,2019,45
