Country,Year,HIV/AIDS
Netherlands,1990,307
Netherlands,1991,340
Netherlands,1992,464
Netherlands,1993,493
Netherlands,1994,506
Netherlands,1995,500
Netherlands,1996,377
Netherlands,1997,222
Netherlands,1998,169
Netherlands,1999,171
Netherlands,2000,165
Netherlands,2001,159
Netherlands,2002,122
Netherlands,2003,120
Netherlands,2004,112
Netherlands,2005,98
Netherlands,2006,60
Netherlands,2007,83
Netherlands,2008,64
Netherlands,2009,79
Netherlands,2010,59
Netherlands,2011,69
Netherlands,2012,56
Netherlands,2013,54
Netherlands,2014,51
Netherlands,2015,56
Netherlands,2016,61
Netherlands,2017,52
Netherlands,2018,50
Netherlands,2019,49
