Country,Year,HIV/AIDS
New Zealand,1990,51
New Zealand,1991,61
New Zealand,1992,58
New Zealand,1993,53
New Zealand,1994,54
New Zealand,1995,36
New Zealand,1996,39
New Zealand,1997,35
New Zealand,1998,16
New Zealand,1999,23
New Zealand,2000,21
New Zealand,2001,15
New Zealand,2002,13
New Zealand,2003,12
New Zealand,2004,15
New Zealand,2005,14
New Zealand,2006,17
New Zealand,2007,12
New Zealand,2008,8
New Zealand,2009,10
New Zealand,2010,15
New Zealand,2011,10
New Zealand,2012,12
New Zealand,2013,11
New Zealand,2014,17
New Zealand,2015,7
New Zealand,2016,9
New Zealand,2017,9
New Zealand,2018,9
New Zealand,2019,9
