Country,Year,HIV/AIDS
North Korea,2008,356
North Korea,2010,361
North Korea,2011,372
North Korea,2012,365
North Korea,2013,399
North Korea,2014,488
North Korea,2015,582
North Korea,2016,658
North Korea,1990,31
North Korea,1991,40
North Korea,1992,53
North Korea,1993,68
North Korea,1994,85
North Korea,1995,104
North Korea,1996,122
North Korea,1997,144
North Korea,1998,169
North Korea,1999,198
North Korea,2000,230
North Korea,2001,267
North Korea,2002,292
North Korea,2003,302
North Korea,2004,331
North Korea,2005,362
North Korea,2006,342
North Korea,2007,336
North Korea,2009,354
North Korea,2017,708
North Korea,2018,740
North Korea,2019,761
