Country,Year,HIV/AIDS
Northern Mariana Islands,1990,0
Northern Mariana Islands,1991,0
Northern Mariana Islands,1992,0
Northern Mariana Islands,1993,0
Northern Mariana Islands,1994,0
Northern Mariana Islands,1995,0
Northern Mariana Islands,1996,0
Northern Mariana Islands,1997,1
Northern Mariana Islands,1998,1
Northern Mariana Islands,1999,1
Northern Mariana Islands,2000,1
Northern Mariana Islands,2001,1
Northern Mariana Islands,2002,1
Northern Mariana Islands,2003,1
Northern Mariana Islands,2004,1
Northern Mariana Islands,2005,1
Northern Mariana Islands,2006,1
Northern Mariana Islands,2007,1
Northern Mariana Islands,2008,1
Northern Mariana Islands,2009,1
Northern Mariana Islands,2010,1
Northern Mariana Islands,2011,1
Northern Mariana Islands,2012,1
Northern Mariana Islands,2013,1
Northern Mariana Islands,2014,1
Northern Mariana Islands,2015,1
Northern Mariana Islands,2016,1
Northern Mariana Islands,2017,1
Northern Mariana Islands,2018,1
Northern Mariana Islands,2019,1
