Country,Year,HIV/AIDS
Palestine,2009,11
Palestine,2010,11
Palestine,2011,11
Palestine,2012,12
Palestine,2013,12
Palestine,2014,12
Palestine,2016,13
Palestine,1990,1
Palestine,1991,1
Palestine,1992,1
Palestine,1993,1
Palestine,1994,2
Palestine,1995,2
Palestine,1996,2
Palestine,1997,3
Palestine,1998,3
Palestine,1999,4
Palestine,2000,4
Palestine,2001,5
Palestine,2002,6
Palestine,2003,7
Palestine,2004,8
Palestine,2005,9
Palestine,2006,9
Palestine,2007,10
Palestine,2008,11
Palestine,2015,12
Palestine,2017,13
Palestine,2018,13
Palestine,2019,14
