Country,Year,HIV/AIDS
Papua New Guinea,1990,2
Papua New Guinea,1991,4
Papua New Guinea,1992,9
Papua New Guinea,1993,18
Papua New Guinea,1994,47
Papua New Guinea,1995,105
Papua New Guinea,1996,193
Papua New Guinea,1997,331
Papua New Guinea,1998,534
Papua New Guinea,1999,809
Papua New Guinea,2000,1152
Papua New Guinea,2001,1547
Papua New Guinea,2002,1966
Papua New Guinea,2003,2360
Papua New Guinea,2004,2701
Papua New Guinea,2005,2972
Papua New Guinea,2006,3141
Papua New Guinea,2007,3187
Papua New Guinea,2008,3231
Papua New Guinea,2009,3361
Papua New Guinea,2010,3521
Papua New Guinea,2011,3644
Papua New Guinea,2012,3696
Papua New Guinea,2013,3662
Papua New Guinea,2014,3591
Papua New Guinea,2015,3606
Papua New Guinea,2016,3695
Papua New Guinea,2017,3780
Papua New Guinea,2018,3818
Papua New Guinea,2019,3830
