Country,Year,HIV/AIDS
Philippines,1990,765
Philippines,1991,863
Philippines,1992,973
Philippines,1993,1099
Philippines,1994,1240
Philippines,1995,1399
Philippines,1996,1578
Philippines,1997,1778
Philippines,1998,2004
Philippines,1999,2259
Philippines,2000,2546
Philippines,2001,2852
Philippines,2002,3200
Philippines,2003,3601
Philippines,2004,4063
Philippines,2005,4610
Philippines,2006,5678
Philippines,2007,5667
Philippines,2008,5613
Philippines,2009,5516
Philippines,2010,5192
Philippines,2011,5499
Philippines,2012,5373
Philippines,2013,5298
Philippines,2014,5241
Philippines,2015,5705
Philippines,2016,5434
Philippines,2017,5363
Philippines,2018,5292
Philippines,2019,5222
