Country,Year,HIV/AIDS
Portugal,1990,210
Portugal,1991,301
Portugal,1992,443
Portugal,1993,555
Portugal,1994,794
Portugal,1995,1086
Portugal,1996,1310
Portugal,1997,1183
Portugal,1998,1130
Portugal,1999,1224
Portugal,2000,1154
Portugal,2001,1109
Portugal,2002,1088
Portugal,2003,1063
Portugal,2004,995
Portugal,2005,1020
Portugal,2006,914
Portugal,2007,923
Portugal,2008,849
Portugal,2009,774
Portugal,2010,732
Portugal,2011,660
Portugal,2012,569
Portugal,2013,520
Portugal,2014,437
Portugal,2015,519
Portugal,2016,517
Portugal,2017,508
Portugal,2018,495
Portugal,2019,482
