Country,Year,HIV/AIDS
Romania,1990,204
Romania,1991,159
Romania,1992,174
Romania,1993,255
Romania,1994,384
Romania,1995,450
Romania,1996,527
Romania,1997,630
Romania,1998,618
Romania,1999,500
Romania,2000,489
Romania,2001,485
Romania,2002,354
Romania,2003,259
Romania,2004,222
Romania,2005,182
Romania,2006,167
Romania,2007,128
Romania,2008,125
Romania,2009,104
Romania,2010,107
Romania,2011,154
Romania,2012,145
Romania,2013,144
Romania,2014,182
Romania,2015,151
Romania,2016,181
Romania,2017,158
Romania,2018,149
Romania,2019,142
