Country,Year,HIV/AIDS
Russia,1990,3377
Russia,1991,3685
Russia,1992,4193
Russia,1993,5225
Russia,1994,6226
Russia,1995,6706
Russia,1996,7237
Russia,1997,7152
Russia,1998,6578
Russia,1999,8449
Russia,2000,8954
Russia,2001,8879
Russia,2002,9450
Russia,2003,9992
Russia,2004,10192
Russia,2005,11109
Russia,2006,11069
Russia,2007,11712
Russia,2008,12520
Russia,2009,13357
Russia,2010,14256
Russia,2011,15609
Russia,2012,15936
Russia,2013,17136
Russia,2014,18703
Russia,2015,20968
Russia,2016,23272
Russia,2017,20506
Russia,2018,19549
Russia,2019,18682
