Country,Year,HIV/AIDS
Saint Vincent and the Grenadines,1990,15
Saint Vincent and the Grenadines,1991,10
Saint Vincent and the Grenadines,1992,12
Saint Vincent and the Grenadines,1993,14
Saint Vincent and the Grenadines,1994,16
Saint Vincent and the Grenadines,1995,19
Saint Vincent and the Grenadines,1996,27
Saint Vincent and the Grenadines,1997,24
Saint Vincent and the Grenadines,1998,24
Saint Vincent and the Grenadines,1999,30
Saint Vincent and the Grenadines,2000,37
Saint Vincent and the Grenadines,2001,33
Saint Vincent and the Grenadines,2002,34
Saint Vincent and the Grenadines,2003,29
Saint Vincent and the Grenadines,2004,30
Saint Vincent and the Grenadines,2005,26
Saint Vincent and the Grenadines,2006,26
Saint Vincent and the Grenadines,2007,24
Saint Vincent and the Grenadines,2008,21
Saint Vincent and the Grenadines,2009,21
Saint Vincent and the Grenadines,2010,22
Saint Vincent and the Grenadines,2011,21
Saint Vincent and the Grenadines,2012,21
Saint Vincent and the Grenadines,2013,22
Saint Vincent and the Grenadines,2014,26
Saint Vincent and the Grenadines,2015,28
Saint Vincent and the Grenadines,2016,22
Saint Vincent and the Grenadines,2017,21
Saint Vincent and the Grenadines,2018,21
Saint Vincent and the Grenadines,2019,20
