Country,Year,HIV/AIDS
San Marino,1990,0
San Marino,1991,0
San Marino,1992,0
San Marino,1993,0
San Marino,1994,0
San Marino,1995,1
San Marino,1996,1
San Marino,1997,1
San Marino,1998,1
San Marino,1999,1
San Marino,2000,1
San Marino,2001,1
San Marino,2002,1
San Marino,2003,1
San Marino,2004,1
San Marino,2005,1
San Marino,2006,1
San Marino,2007,1
San Marino,2008,1
San Marino,2009,1
San Marino,2010,1
San Marino,2011,1
San Marino,2012,1
San Marino,2013,1
San Marino,2014,1
San Marino,2015,1
San Marino,2016,1
San Marino,2017,1
San Marino,2018,1
San Marino,2019,1
