Country,Year,HIV/AIDS
Sao Tome and Principe,1990,0
Sao Tome and Principe,1991,0
Sao Tome and Principe,1992,0
Sao Tome and Principe,1993,0
Sao Tome and Principe,1994,1
Sao Tome and Principe,1995,1
Sao Tome and Principe,1996,1
Sao Tome and Principe,1997,1
Sao Tome and Principe,1998,1
Sao Tome and Principe,1999,1
Sao Tome and Principe,2000,1
Sao Tome and Principe,2001,1
Sao Tome and Principe,2002,1
Sao Tome and Principe,2003,1
Sao Tome and Principe,2004,1
Sao Tome and Principe,2005,1
Sao Tome and Principe,2006,0
Sao Tome and Principe,2007,0
Sao Tome and Principe,2008,0
Sao Tome and Principe,2009,0
Sao Tome and Principe,2010,0
Sao Tome and Principe,2011,0
Sao Tome and Principe,2012,0
Sao Tome and Principe,2013,0
Sao Tome and Principe,2014,0
Sao Tome and Principe,2015,0
Sao Tome and Principe,2016,0
Sao Tome and Principe,2017,0
Sao Tome and Principe,2018,0
Sao Tome and Principe,2019,0
