Country,Year,HIV/AIDS
Saudi Arabia,2007,442
Saudi Arabia,2008,466
Saudi Arabia,2009,487
Saudi Arabia,2010,510
Saudi Arabia,2011,537
Saudi Arabia,2012,561
Saudi Arabia,2013,583
Saudi Arabia,2014,604
Saudi Arabia,2015,622
Saudi Arabia,2016,639
Saudi Arabia,1990,69
Saudi Arabia,1991,80
Saudi Arabia,1992,92
Saudi Arabia,1993,106
Saudi Arabia,1994,120
Saudi Arabia,1995,136
Saudi Arabia,1996,152
Saudi Arabia,1997,170
Saudi Arabia,1998,190
Saudi Arabia,1999,213
Saudi Arabia,2000,239
Saudi Arabia,2001,269
Saudi Arabia,2002,301
Saudi Arabia,2003,334
Saudi Arabia,2004,363
Saudi Arabia,2005,392
Saudi Arabia,2006,417
Saudi Arabia,2017,656
Saudi Arabia,2018,673
Saudi Arabia,2019,683
