Country,Year,HIV/AIDS
Seychelles,1990,0
Seychelles,1991,1
Seychelles,1992,1
Seychelles,1993,1
Seychelles,1994,2
Seychelles,1995,2
Seychelles,1996,3
Seychelles,1997,3
Seychelles,1998,4
Seychelles,1999,4
Seychelles,2000,5
Seychelles,2001,5
Seychelles,2002,5
Seychelles,2003,5
Seychelles,2004,5
Seychelles,2005,5
Seychelles,2006,5
Seychelles,2007,5
Seychelles,2008,5
Seychelles,2009,5
Seychelles,2010,5
Seychelles,2011,5
Seychelles,2012,5
Seychelles,2013,5
Seychelles,2014,6
Seychelles,2015,6
Seychelles,2016,6
Seychelles,2017,5
Seychelles,2018,5
Seychelles,2019,4
