Country,Year,HIV/AIDS
Sierra Leone,1990,130
Sierra Leone,1991,189
Sierra Leone,1992,265
Sierra Leone,1993,363
Sierra Leone,1994,483
Sierra Leone,1995,621
Sierra Leone,1996,786
Sierra Leone,1997,986
Sierra Leone,1998,1208
Sierra Leone,1999,1452
Sierra Leone,2000,1712
Sierra Leone,2001,1980
Sierra Leone,2002,2247
Sierra Leone,2003,2503
Sierra Leone,2004,2741
Sierra Leone,2005,2922
Sierra Leone,2006,3048
Sierra Leone,2007,3150
Sierra Leone,2008,3198
Sierra Leone,2009,3163
Sierra Leone,2010,3099
Sierra Leone,2011,3047
Sierra Leone,2012,3089
Sierra Leone,2013,3250
Sierra Leone,2014,3299
Sierra Leone,2015,3210
Sierra Leone,2016,3108
Sierra Leone,2017,2968
Sierra Leone,2018,2841
Sierra Leone,2019,2798
