Country,Year,HIV/AIDS
Singapore,2007,51
Singapore,2008,44
Singapore,2009,47
Singapore,2014,52
Singapore,2015,36
Singapore,2016,32
Singapore,1990,8
Singapore,1991,10
Singapore,1992,15
Singapore,1993,24
Singapore,1994,27
Singapore,1995,37
Singapore,1996,58
Singapore,1997,52
Singapore,1998,58
Singapore,1999,59
Singapore,2000,60
Singapore,2001,75
Singapore,2002,68
Singapore,2003,52
Singapore,2004,40
Singapore,2005,38
Singapore,2006,37
Singapore,2010,38
Singapore,2011,22
Singapore,2012,43
Singapore,2013,49
Singapore,2017,37
Singapore,2018,36
Singapore,2019,36
