Country,Year,HIV/AIDS
Solomon Islands,1990,4
Solomon Islands,1991,5
Solomon Islands,1992,6
Solomon Islands,1993,7
Solomon Islands,1994,9
Solomon Islands,1995,10
Solomon Islands,1996,11
Solomon Islands,1997,12
Solomon Islands,1998,13
Solomon Islands,1999,14
Solomon Islands,2000,14
Solomon Islands,2001,15
Solomon Islands,2002,16
Solomon Islands,2003,17
Solomon Islands,2004,17
Solomon Islands,2005,18
Solomon Islands,2006,19
Solomon Islands,2007,19
Solomon Islands,2008,21
Solomon Islands,2009,22
Solomon Islands,2010,23
Solomon Islands,2011,23
Solomon Islands,2012,23
Solomon Islands,2013,24
Solomon Islands,2014,26
Solomon Islands,2015,29
Solomon Islands,2016,32
Solomon Islands,2017,34
Solomon Islands,2018,37
Solomon Islands,2019,41
