Country,Year,HIV/AIDS
South Korea,1990,52
South Korea,1991,55
South Korea,1992,60
South Korea,1993,58
South Korea,1994,57
South Korea,1995,27
South Korea,1996,37
South Korea,1997,31
South Korea,1998,40
South Korea,1999,41
South Korea,2000,45
South Korea,2001,52
South Korea,2002,78
South Korea,2003,75
South Korea,2004,81
South Korea,2005,92
South Korea,2006,99
South Korea,2007,118
South Korea,2008,117
South Korea,2009,124
South Korea,2010,149
South Korea,2011,153
South Korea,2012,156
South Korea,2013,146
South Korea,2014,152
South Korea,2015,128
South Korea,2016,140
South Korea,2017,140
South Korea,2018,139
South Korea,2019,138
