Country,Year,HIV/AIDS
Switzerland,1990,3
Switzerland,1991,3
Switzerland,1992,3
Switzerland,1993,4
Switzerland,1994,4
Switzerland,1995,511
Switzerland,1996,416
Switzerland,1997,277
Switzerland,1998,207
Switzerland,1999,165
Switzerland,2000,149
Switzerland,2001,134
Switzerland,2002,113
Switzerland,2003,104
Switzerland,2004,89
Switzerland,2005,72
Switzerland,2006,80
Switzerland,2007,64
Switzerland,2008,53
Switzerland,2009,49
Switzerland,2010,48
Switzerland,2011,43
Switzerland,2012,50
Switzerland,2013,38
Switzerland,2014,40
Switzerland,2015,32
Switzerland,2016,38
Switzerland,2017,38
Switzerland,2018,37
Switzerland,2019,37
