Country,Year,HIV/AIDS
Tajikistan,1990,8
Tajikistan,1991,12
Tajikistan,1992,17
Tajikistan,1993,22
Tajikistan,1994,28
Tajikistan,1995,34
Tajikistan,1996,41
Tajikistan,1997,49
Tajikistan,1998,57
Tajikistan,1999,67
Tajikistan,2000,77
Tajikistan,2001,87
Tajikistan,2002,97
Tajikistan,2003,105
Tajikistan,2004,113
Tajikistan,2005,120
Tajikistan,2006,126
Tajikistan,2007,127
Tajikistan,2008,125
Tajikistan,2009,121
Tajikistan,2010,120
Tajikistan,2011,115
Tajikistan,2012,107
Tajikistan,2013,103
Tajikistan,2014,101
Tajikistan,2015,90
Tajikistan,2016,73
Tajikistan,2017,63
Tajikistan,2018,60
Tajikistan,2019,60
