Country,Year,HIV/AIDS
Thailand,2007,19395
Thailand,2008,17638
Thailand,2009,16590
Thailand,1990,1026
Thailand,1991,2614
Thailand,1992,5000
Thailand,1993,8266
Thailand,1994,12214
Thailand,1995,16624
Thailand,1996,20993
Thailand,1997,25228
Thailand,1998,28859
Thailand,1999,31836
Thailand,2000,34113
Thailand,2001,35471
Thailand,2002,35798
Thailand,2003,34901
Thailand,2004,33089
Thailand,2005,29303
Thailand,2006,23476
Thailand,2010,16261
Thailand,2011,16044
Thailand,2012,16875
Thailand,2013,19269
Thailand,2014,20839
Thailand,2015,21103
Thailand,2016,20543
Thailand,2017,19544
Thailand,2018,18405
Thailand,2019,17215
