Country,Year,HIV/AIDS
Trinidad and Tobago,1990,101
Trinidad and Tobago,1991,120
Trinidad and Tobago,1992,174
Trinidad and Tobago,1993,187
Trinidad and Tobago,1994,230
Trinidad and Tobago,1995,237
Trinidad and Tobago,1996,308
Trinidad and Tobago,1997,317
Trinidad and Tobago,1998,355
Trinidad and Tobago,1999,510
Trinidad and Tobago,2000,532
Trinidad and Tobago,2001,522
Trinidad and Tobago,2002,486
Trinidad and Tobago,2003,418
Trinidad and Tobago,2004,329
Trinidad and Tobago,2005,319
Trinidad and Tobago,2006,302
Trinidad and Tobago,2007,260
Trinidad and Tobago,2008,254
Trinidad and Tobago,2009,244
Trinidad and Tobago,2010,229
Trinidad and Tobago,2011,223
Trinidad and Tobago,2012,236
Trinidad and Tobago,2013,234
Trinidad and Tobago,2014,231
Trinidad and Tobago,2015,227
Trinidad and Tobago,2016,222
Trinidad and Tobago,2017,217
Trinidad and Tobago,2018,212
Trinidad and Tobago,2019,206
