Country,Year,HIV/AIDS
United Arab Emirates,2007,58
United Arab Emirates,2008,74
United Arab Emirates,2009,86
United Arab Emirates,2011,107
United Arab Emirates,2012,117
United Arab Emirates,2014,136
United Arab Emirates,2015,145
United Arab Emirates,1990,3
United Arab Emirates,1991,4
United Arab Emirates,1992,5
United Arab Emirates,1993,6
United Arab Emirates,1994,7
United Arab Emirates,1995,8
United Arab Emirates,1996,9
United Arab Emirates,1997,11
United Arab Emirates,1998,12
United Arab Emirates,1999,14
United Arab Emirates,2000,17
United Arab Emirates,2001,20
United Arab Emirates,2002,24
United Arab Emirates,2003,28
United Arab Emirates,2004,32
United Arab Emirates,2005,37
United Arab Emirates,2006,46
United Arab Emirates,2010,96
United Arab Emirates,2013,126
United Arab Emirates,2016,154
United Arab Emirates,2017,161
United Arab Emirates,2018,163
United Arab Emirates,2019,160
