Country,Year,HIV/AIDS
United Kingdom,1990,457
United Kingdom,1991,581
United Kingdom,1992,626
United Kingdom,1993,722
United Kingdom,1994,827
United Kingdom,1995,831
United Kingdom,1996,585
United Kingdom,1997,418
United Kingdom,1998,257
United Kingdom,1999,268
United Kingdom,2000,268
United Kingdom,2001,290
United Kingdom,2002,295
United Kingdom,2003,340
United Kingdom,2004,288
United Kingdom,2005,315
United Kingdom,2006,330
United Kingdom,2007,343
United Kingdom,2008,339
United Kingdom,2009,334
United Kingdom,2010,328
United Kingdom,2011,273
United Kingdom,2012,264
United Kingdom,2013,275
United Kingdom,2014,215
United Kingdom,2015,266
United Kingdom,2016,263
United Kingdom,2017,245
United Kingdom,2018,239
United Kingdom,2019,233
